Semilla,identificacionPersona,tipoPersona,horasCurso,cursoID,docenteID,claseHorario,diaHorario,horasDisponibles,cantidadHorasRestantes,horaInicioHorario,cantidadHorasHorario,alumnoIDSalon,cursoIDSalon,identificacionPersonaPut,horasCursoPut,docentePut,cursoPut,cursoIDPut,claseIDPut,horarioIDPut
31391837035,98020198526,1,1,59,59,59,3,,,17,1,17,18,59,1,59,69,36,40,13
45991690188,10919310048,1,2,60,60,60,5,,,16,1,24,22,60,2,60,66,26,56,68
44651723008,1535927233,1,1,61,61,61,3,,,8,2,49,36,61,1,61,73,89,37,5
80599644561,3408546882,1,4,62,62,62,2,,,15,1,91,77,62,4,62,13,18,50,13
96446701687,77239031644,1,2,63,63,63,3,,,10,2,34,44,63,2,63,32,10,70,31
65191290900,8264669234,1,4,64,64,64,1,,,9,1,59,68,64,4,64,31,13,69,44
18041114452,91424375902,1,4,65,65,65,2,,,10,1,179,68,65,4,65,72,1,65,92
67049853431,26367406210,1,3,66,66,66,2,,,8,4,38,15,66,3,66,68,35,72,30
65124963644,37548851572,1,4,67,67,67,1,,,15,2,130,22,67,4,67,19,50,15,64
33804909482,42391318949,1,3,68,68,68,4,,,15,3,79,61,68,3,68,24,13,48,84
25147196883,32261298355,1,1,69,69,69,4,,,17,1,46,12,69,1,69,71,75,27,16
14218881118,79981444108,1,1,70,70,70,2,,,10,2,170,46,70,1,70,62,60,52,87
87803509209,27018238469,1,3,71,71,71,3,,,10,1,139,35,71,3,71,77,67,20,100
29859078869,47855607787,1,3,72,72,72,2,,,17,1,57,89,72,3,72,37,74,44,66
19179151412,61678308388,1,1,73,73,73,5,,,10,1,199,17,73,1,73,89,66,59,48
56871810757,79009712710,1,2,74,74,74,4,,,16,1,173,12,74,2,74,72,51,8,66
37175955460,17951867721,1,2,75,75,75,4,,,16,2,53,5,75,2,75,62,19,61,12
55851930116,45288558252,1,1,76,76,76,1,,,9,1,19,39,76,1,76,14,86,45,87
72596140268,62115619327,1,3,77,77,77,5,,,8,4,147,15,77,3,77,80,98,63,1
70838330439,26637861942,1,4,78,78,78,1,,,11,1,61,4,78,4,78,30,73,37,11
18096479635,30351832439,1,1,79,79,79,2,,,17,1,87,55,79,1,79,17,29,17,9
17309967015,71172323377,1,1,80,80,80,5,,,14,4,85,76,80,1,80,36,49,80,46
68322119169,13002465730,1,1,81,81,81,1,,,9,1,198,24,81,1,81,48,73,30,58
62705322626,77959412561,1,1,82,82,82,4,,,14,1,69,85,82,1,82,1,8,85,43
57485798937,47112136681,1,3,83,83,83,4,,,15,3,148,90,83,3,83,2,3,79,86
24096916079,14764379238,1,4,84,84,84,2,,,11,1,189,57,84,4,84,40,46,22,68
20783845953,64134500712,1,1,85,85,85,2,,,9,2,83,78,85,1,85,96,4,43,77
24966948515,81271687005,1,4,86,86,86,3,,,8,1,22,37,86,4,86,76,33,62,99
80197508038,50526971748,1,1,87,87,87,1,,,14,4,115,16,87,1,87,12,78,77,9
60860541530,92218279636,1,3,88,88,88,3,,,16,1,102,34,88,3,88,21,68,70,41
62831992162,26733793183,1,4,89,89,89,4,,,15,1,71,5,89,4,89,64,85,99,23
70643993146,70951395433,1,4,90,90,90,2,,,17,1,156,94,90,4,90,70,57,64,29
53148526988,472780103,1,3,91,91,91,3,,,8,1,33,71,91,3,91,20,80,15,84
31086498294,64120371628,1,3,92,92,92,2,,,17,1,25,12,92,3,92,6,95,24,21
6090406164,95738081133,1,3,93,93,93,3,,,9,3,131,100,93,3,93,67,3,52,1
27678981695,50964729667,1,3,94,94,94,1,,,14,3,55,75,94,3,94,14,7,64,23
71923908521,43419540230,1,4,95,95,95,4,,,16,1,9,59,95,4,95,1,13,17,53
78276392542,81134720710,1,4,96,96,96,3,,,14,4,132,96,96,4,96,84,25,42,72
19303733124,62782106721,1,4,97,97,97,4,,,10,1,191,53,97,4,97,22,60,34,6
29890023174,25842271343,1,2,98,98,98,5,,,17,1,24,63,98,2,98,12,86,20,10
71596089957,88527559156,1,4,99,99,99,1,,,9,2,55,20,99,4,99,78,35,63,43
27435887248,25246050087,1,4,100,100,100,2,,,8,2,185,48,100,4,100,52,24,26,68
72518591276,52227604651,1,1,1,1,1,2,,,8,4,98,1,101,1,101,78,61,93,16
,78326141019,2,,2,2,2,2,,,9,2,14,78,102,3,102,59,60,11,27
,69905591657,2,,3,3,3,5,,,9,2,152,91,103,1,103,19,90,22,65
,42371709457,2,,4,4,4,5,,,17,1,101,27,104,3,104,72,95,81,42
,76281317929,2,,5,5,5,5,,,10,1,160,2,105,3,105,40,54,96,66
,52163729064,2,,6,6,6,5,,,8,2,72,61,106,3,106,50,6,41,44
,35533840744,2,,7,7,7,4,,,9,2,72,63,107,3,107,78,8,21,46
,76966861646,2,,8,8,8,4,,,15,1,163,26,108,1,108,42,94,3,34
,88589854758,2,,9,9,9,3,,,11,1,95,38,109,3,109,74,77,15,52
,71386553401,2,,10,10,10,2,,,10,2,4,84,110,1,110,37,83,76,41
,54655485514,2,,11,11,11,3,,,11,1,39,3,111,1,111,68,48,2,21
,65380344004,2,,12,12,12,4,,,8,3,191,12,112,2,112,34,51,39,45
,81501041098,2,,13,13,13,2,,,14,3,195,75,113,3,113,45,96,20,87
,38947443364,2,,14,14,14,2,,,10,1,30,27,114,4,114,93,51,16,31
,46572098442,2,,15,15,15,2,,,8,2,153,32,115,3,115,74,98,34,58
,919920207,2,,16,16,16,2,,,16,2,42,51,116,2,116,100,26,51,8
,46090840265,2,,17,17,17,2,,,10,1,70,67,117,2,117,5,46,29,15
,55865524075,2,,18,18,18,2,,,11,1,187,36,118,1,118,66,84,48,88
,45105334591,2,,19,19,19,2,,,15,1,22,27,119,2,119,93,100,50,43
,70666193705,2,,20,20,20,5,,,9,3,126,86,120,2,120,40,99,7,68
,41498686504,2,,21,21,21,1,,,11,1,58,16,121,2,121,13,1,78,93
,68209781228,2,,22,22,22,2,,,15,2,1,83,122,2,122,48,8,19,38
,48984833717,2,,23,23,23,2,,,8,3,45,20,123,4,123,96,64,61,72
,88747624813,2,,24,24,24,4,,,8,2,114,23,124,1,124,93,83,50,3
,48761430986,2,,25,25,25,1,,,9,2,115,27,125,4,125,3,34,51,63
,85038611842,2,,26,26,26,2,,,11,1,183,54,126,2,126,67,86,48,98
,39075211750,2,,27,27,27,5,,,9,2,42,49,127,1,127,76,95,92,15
,5064131528,2,,28,28,28,1,,,16,1,13,50,128,3,128,28,60,21,46
,13622914547,2,,29,29,29,4,,,8,4,70,76,129,2,129,54,88,36,28
,72317349632,2,,30,30,30,5,,,15,2,126,89,130,1,130,42,65,81,59
,80874659892,2,,31,31,31,1,,,17,1,139,17,131,4,131,16,10,49,36
,88141018986,2,,32,32,32,2,,,16,1,122,79,132,4,132,25,48,51,98
,50114852817,2,,33,33,33,1,,,16,1,35,22,133,3,133,54,7,19,77
,50040903491,2,,34,34,34,3,,,9,1,89,30,134,2,134,69,20,38,64
,28906864091,2,,35,35,35,5,,,10,2,2,99,135,4,135,66,90,83,63
,35897910725,2,,36,36,36,3,,,17,1,43,61,136,1,136,92,66,38,32
,20245916567,2,,37,37,37,4,,,9,3,1,78,137,1,137,48,38,13,38
,32875555150,2,,38,38,38,2,,,16,1,27,40,138,4,138,2,55,24,7
,63207060343,2,,39,39,39,2,,,17,1,74,14,139,1,139,81,25,6,60
,63496453439,2,,40,40,40,1,,,8,4,146,38,140,4,140,76,98,42,9
,13961246976,2,,41,41,41,2,,,10,2,80,73,141,1,141,2,91,83,68
,58180114807,2,,42,42,42,4,,,10,1,199,79,142,4,142,98,90,15,7
,17860985913,2,,43,43,43,4,,,9,3,61,17,143,1,143,98,67,91,84
,54629993987,2,,44,44,44,5,,,17,1,177,59,144,3,144,36,34,1,84
,28600133517,2,,45,45,45,2,,,14,3,101,90,145,4,145,58,13,83,98
,39561192753,2,,46,46,46,2,,,9,2,34,90,146,4,146,48,2,15,79
,6069991116,2,,47,47,47,5,,,10,1,196,72,147,4,147,83,6,7,47
,38871838296,2,,48,48,48,1,,,17,1,2,9,148,2,148,1,43,7,44
,87084877672,2,,49,49,49,5,,,16,2,39,25,149,4,149,15,69,39,66
,68882194910,2,,50,50,50,3,,,14,1,150,11,150,4,150,83,78,44,43
,7397859345,2,,51,51,51,4,,,8,4,180,97,151,4,151,65,100,81,86
,75950226449,2,,52,52,52,3,,,15,2,36,68,152,1,152,41,51,72,81
,40252414125,2,,53,53,53,5,,,8,1,155,23,153,2,153,84,2,92,64
,65325667200,2,,54,54,54,5,,,8,1,48,42,154,3,154,67,36,30,25
,58682534479,2,,55,55,55,1,,,9,2,146,8,155,1,155,38,11,70,90
,85845860612,2,,56,56,56,5,,,8,3,67,29,156,3,156,95,79,3,22
,70125548948,2,,57,57,57,2,,,14,4,95,62,157,3,157,94,26,76,9
,35958878057,2,,58,58,58,3,,,8,1,76,69,158,2,158,21,86,68,57
,82280371889,2,,59,59,59,3,,,9,1,117,85,159,3,159,57,54,79,87
,62544776561,2,,60,60,60,5,,,17,1,2,18,160,1,160,32,78,11,23
,48445668607,2,,61,61,61,3,,,16,1,111,22,161,2,161,29,84,88,41
,69229048692,2,,62,62,62,2,,,8,2,143,36,162,1,162,2,4,64,17
,92640231398,2,,63,63,63,3,,,15,1,58,77,163,4,163,10,95,79,21
,48947992177,2,,64,64,64,1,,,10,2,90,44,164,2,164,56,69,100,71
,7165059178,2,,65,65,65,2,,,9,1,131,68,165,4,165,94,96,59,96
,30083705110,2,,66,66,66,2,,,10,1,200,68,166,4,166,62,60,99,42
,45513439846,2,,67,67,67,1,,,8,4,82,15,167,3,167,74,62,80,93
,30528468639,2,,68,68,68,4,,,15,2,50,22,168,4,168,36,56,28,82
,46490743358,2,,69,69,69,4,,,15,3,86,61,169,3,169,83,8,61,93
,63273480271,2,,70,70,70,2,,,17,1,64,12,170,1,170,71,99,22,14
,32715287265,2,,71,71,71,3,,,10,2,162,46,171,1,171,83,39,60,22
,26113228572,2,,72,72,72,2,,,10,1,24,35,172,3,172,20,59,76,29
,39927833050,2,,73,73,73,5,,,17,1,195,89,173,3,173,13,97,53,93
,40338151951,2,,74,74,74,4,,,10,1,138,17,174,1,174,20,19,71,40
,79908844620,2,,75,75,75,4,,,16,1,171,12,175,2,175,80,31,50,43
,15665291989,2,,76,76,76,1,,,16,2,33,5,176,2,176,64,79,40,1
,95410750930,2,,77,77,77,5,,,9,1,191,39,177,1,177,67,39,64,52
,4579486120,2,,78,78,78,1,,,8,4,21,15,178,3,178,72,8,57,37
,74760387737,2,,79,79,79,2,,,11,1,166,4,179,4,179,84,74,26,10
,46912761745,2,,80,80,80,5,,,17,1,121,55,180,1,180,54,85,48,16
,97235468515,2,,81,81,81,1,,,14,4,107,76,181,1,181,42,29,68,9
,78586642811,2,,82,82,82,4,,,9,1,44,24,182,1,182,32,100,25,99
,38495067181,2,,83,83,83,4,,,14,1,85,85,183,1,183,55,50,97,88
,5443540057,2,,84,84,84,2,,,15,3,31,90,184,3,184,68,43,91,54
,84081723871,2,,85,85,85,2,,,11,1,78,57,185,4,185,69,30,56,85
,99168155346,2,,86,86,86,3,,,9,2,38,78,186,1,186,76,11,68,32
,55250968558,2,,87,87,87,1,,,8,1,111,37,187,4,187,87,53,42,82
,16020043148,2,,88,88,88,3,,,14,4,28,16,188,1,188,23,36,87,55
,15352115565,2,,89,89,89,4,,,16,1,34,34,189,3,189,94,77,84,62
,35569830041,2,,90,90,90,2,,,15,1,190,5,190,4,190,2,88,42,52
,90422249961,2,,91,91,91,3,,,17,1,132,94,191,4,191,51,13,51,49
,67058113207,2,,92,92,92,2,,,8,1,178,71,192,3,192,52,19,38,24
,39977369639,2,,93,93,93,3,,,17,1,148,12,193,3,193,77,93,83,34
,28842719868,2,,94,94,94,1,,,9,3,152,100,194,3,194,94,10,62,71
,61686930469,2,,95,95,95,4,,,14,3,188,75,195,3,195,84,36,87,62
,14480135425,2,,96,96,96,3,,,16,1,40,59,196,4,196,67,63,53,44
,9932621965,2,,97,97,97,4,,,14,4,84,96,197,4,197,60,65,83,12
,62458285142,2,,98,98,98,5,,,10,1,176,53,198,4,198,5,87,45,47
,74609627634,2,,99,99,99,1,,,17,1,150,63,199,2,199,81,90,55,77
,26449821811,2,,100,100,100,2,,,9,2,91,20,200,4,200,30,94,17,66
,73822912967,2,,1,1,1,1,,,8,2,30,48,,4,,100,97,90,35
,37171418936,2,,2,2,2,,,,8,4,28,1,,1,,67,68,34,13
